"req_id","req_status","priority","contract_refs","invariant_refs","scenario_refs","error_refs","evidence_level","coverage_status","notes","executed_evidence"
"REQ-D01","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/errors.yaml;contracts/modules.yaml;precode/baseline.json","I01;I08;I11","SC41;SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","","PARTIAL_E1_E2: SC41;SC49"
"REQ-D02","XN","P0","precode/baseline.json","I01;I11","SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","","PARTIAL_E1_E2: SC49"
"REQ-D04","XN","P0","contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/deployment.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json","I01","SC40","CSRF_REJECTED;FORBIDDEN_EDGE;UNAUTHORIZED","E2","COVERED","","PARTIAL_E1_E2: SC40"
"REQ-D05","XN","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/secrets.md;contracts/ports.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I11;I12;I13;I15","SC40;SC44;SC51","AI_PROVIDER_UNAVAILABLE;CONFLICT;CSRF_REJECTED;FORBIDDEN_EDGE;STORAGE_WRITE_FAILED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC40;SC44;SC51"
"REQ-D06","XN","P0","contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/deployment.md;contracts/ops/secrets.md;contracts/ports.yaml;precode/baseline.json","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-D08","XN","P0","contracts/capabilities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/collector-probe.md;contracts/ops/deployment.md;contracts/ports.yaml;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/worker-assignment.schema.json;precode/baseline.json;precode/decision-register.md","I01;I02;I08;I11","SC21;SC31;SC41;SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;IDEMPOTENCY_CONFLICT;INGEST_ACK_LOST;INTERNAL;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","AMD-B12 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","E1/E2: SC21;SC31"
"REQ-D42","XN","P0","contracts/capabilities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I01;I11","SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","AMD-B12 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC49"
"REQ-D50","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/errors.yaml;contracts/modules.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/reporting/selection.md;precode/baseline.json;precode/decision-register.md","I01;I05;I06;I11;I12;I14","SC16;SC49;SC52","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;CONFLICT;EMBEDDING_GENERATION_MISMATCH;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E3","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01) · fixture: k-zero-api-key-all-tasks-via-cli.json l-embedding-generation-switch-blocked.json n-embedding-generation-switch-positive.json","PARTIAL_E1_E2: SC16;SC49;SC52"
"REQ-D09","XN","P0","contracts/capabilities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/collector-probe.md;contracts/ops/deployment.md;contracts/ports.yaml;contracts/schemas/worker-assignment.schema.json;precode/baseline.json;precode/decision-register.md","I01;I02;I10;I11;I12;I13","SC04;SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;STALE_LEASE;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E3","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC04;SC51"
"REQ-D31","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/schemas/ingest-batch.schema.json;contracts/schemas/worker-assignment.schema.json;precode/baseline.json","I03;I17","SC07","IDENTITY_CONFLICT;SOURCE_METADATA_UNAVAILABLE","E1","COVERED","fixture: h-five-posts-thread-one-target.json","PARTIAL_E1_E2: SC07"
