"req_id","source_anchor","text_vi","status","priority","scope","category","blocked_by","impacted_packages","notes"
"REQ-D01","SRC-SPEC:D01","MVP một người dùng. Không phân quyền, không tách dữ liệu theo user","XN","P0","MVP","users-access","","PC01;PC02;PC08","Giữ owner_id trong schema theo SRC-PLAN:PC02 nhưng không dựng tính năng multi-tenant"
"REQ-D02","SRC-SPEC:D02","Chia sẻ nằm ngoài sản phẩm: copy link post ra ngoài","XN","P0","MVP","users-access","","PC07","Ràng buộc âm: cấm mọi cơ chế chia sẻ trong sản phẩm; xem REQ-OOS-04"
"REQ-D04","SRC-SPEC:D04","App truy cập được từ ngoài mạng nhà, mở được trên điện thoại","XN","P0","MVP","users-access","","PC07;PC08","Kéo theo chu vi bảo mật §11.1"
"REQ-D05","SRC-SPEC:D05","Một tài khoản đăng nhập duy nhất, không có trang signup","XN","P0","MVP","users-access","","PC08","Nguồn của REQ-P0-01 và REQ-S11.1-01"
"REQ-D06","SRC-SPEC:D06","Collector ở máy cá nhân; app và data store host ngoài","XN","P0","MVP","topology","","PC01;PC05","Phần XN của topology; chi tiết bố trí module còn ĐX theo B12"
"REQ-D08","SRC-SPEC:D08","Collector không ghi trực tiếp SQLite; đẩy qua API có xác thực","XN","P0","MVP","topology","B12","PC01;PC05","PC-ĐX B12 giữ nguyên D08 (API-only). Ratified OD-20260907-01 (2026-09-07, mục 2): ĐX → XN; ADR-0001 accepted"
"REQ-D42","SRC-SPEC:D42","Bước LLM chạy cùng máy với collector; server giữ queue, SQLite, web, Telegram","XN","P0","MVP","topology","B12","PC01;PC06","PC-ĐX B12 giữ D42 nhưng analysis worker nhận task từ server sau ingest commit; AMD-B12 ACCEPTED. Ratified OD-20260907-01 (2026-09-07, mục 2): ĐX → XN"
"REQ-D50","SRC-SPEC:D50","Model embedding chạy ở server","XN","P0","MVP","topology","B12","PC01;PC04","PC-ĐX B12 giữ D50. Ratified OD-20260907-01 (2026-09-07, mục 2): ĐX → XN"
"REQ-D09","SRC-SPEC:D09","Chrome thật trên máy cá nhân với profile riêng của dự án, không phải profile mặc định","XN","P0","MVP","collection","B12","PC01;PC05","Ratified OD-20260907-01 (2026-09-07, mục 1): ĐX → XN — Owner xác nhận profile riêng của dự án; REQ-OQ01 đã trả lời; M0/SP1 không còn bị chặn bởi quyết định này (probe A1 vẫn NOT_RUN)"
"REQ-D31","SRC-SPEC:D31","Mở link paper; mở thread chỉ khi là thread do chính tác giả viết; replies hoãn","XN","P0","MVP","collection","","PC05","Giới hạn nguồn phải ghi vào contracts/http/openapi.yaml theo PC05"
"REQ-D32","SRC-SPEC:D32","Chrome collector chỉ lo X; metadata paper lấy qua API từ server","XN","P0","MVP","collection","B12","PC01;PC05","Cạnh bị cấm: collector gọi arXiv/OpenAlex"
